Date,Last,Open,High,Low,Auction,Change,Average
5/19/2023,175.16,176.39,176.39,174.94,52.68M,0.06%,175.665
5/18/2023,175.05,173,175.24,172.58,65.09M,1.37%,173.91
5/17/2023,172.69,171.71,172.93,170.42,57.95M,0.36%,171.675
5/16/2023,172.07,171.99,173.14,171.8,42.11M,0.00%,172.47
5/15/2023,172.07,173.16,173.21,171.47,37.18M,-0.29%,172.34
5/12/2023,172.57,173.62,174.06,171,45.53M,-0.68%,172.53
5/11/2023,173.75,173.85,174.59,172.17,49.51M,0.11%,173.38
5/10/2023,173.55,173.02,174.03,171.9,53.72M,1.04%,172.965
5/9/2023,171.77,173.05,173.54,171.6,45.33M,-1.00%,172.57
5/8/2023,173.5,172.48,173.85,172.11,55.96M,-0.04%,172.98
5/5/2023,173.57,170.98,174.3,170.76,113.45M,4.69%,172.53
5/4/2023,165.79,164.89,167.04,164.31,70.38M,-0.99%,165.675
5/3/2023,167.45,169.5,170.92,167.16,59.44M,-0.65%,169.04
5/2/2023,168.54,170.09,170.35,167.54,48.43M,-0.62%,168.945
5/1/2023,169.59,169.28,170.45,168.64,49.39M,-0.05%,169.545
4/28/2023,169.68,168.49,169.85,167.88,55.28M,0.75%,168.865
4/27/2023,168.41,165.19,168.56,165.19,64.22M,2.84%,166.875
4/26/2023,163.76,163.05,165.28,162.8,44.11M,-0.01%,164.04
4/25/2023,163.77,165.19,166.3,163.73,48.17M,-0.94%,165.015
4/24/2023,165.33,165,165.6,163.89,38.99M,0.19%,164.745
4/21/2023,165.02,165.05,166.45,164.49,58.34M,-0.98%,165.47
4/20/2023,166.65,166.09,167.87,165.56,52.46M,-0.58%,166.715
4/19/2023,167.63,165.8,168.16,165.54,47.24M,0.70%,166.85
4/18/2023,166.47,166.1,167.41,165.65,48.41M,0.75%,166.53
4/17/2023,165.23,165.09,165.39,164.03,41.52M,0.01%,164.71
4/14/2023,165.21,164.59,166.32,163.82,49.39M,-0.21%,165.07
4/13/2023,165.56,161.63,165.8,161.42,67.16M,3.41%,163.61
4/12/2023,160.1,161.22,162.06,159.78,49.40M,-0.44%,160.92
4/11/2023,160.8,162.35,162.36,160.51,46.31M,-0.76%,161.435
4/10/2023,162.03,161.42,162.03,160.08,47.03M,-1.60%,161.055
4/6/2023,164.66,162.43,164.96,162,45.39M,0.55%,163.48
4/5/2023,163.76,164.74,165.05,161.8,51.30M,-1.13%,163.425
4/4/2023,165.63,166.6,166.84,165.11,44.43M,-0.32%,165.975
4/3/2023,166.17,164.27,166.29,164.22,54.97M,0.77%,165.255
3/31/2023,164.9,162.44,165,161.91,68.75M,1.56%,163.455
3/30/2023,162.36,161.53,162.47,161.27,46.81M,0.99%,161.87
3/29/2023,160.77,159.37,161.05,159.35,51.31M,1.98%,160.2
3/28/2023,157.65,157.97,158.49,155.98,45.58M,-0.40%,157.235
3/27/2023,158.28,159.94,160.77,157.87,50.42M,-1.23%,159.32
3/24/2023,160.25,158.86,160.34,157.85,59.26M,0.83%,159.095
3/23/2023,158.93,158.83,161.55,157.68,67.22M,0.70%,159.615
3/22/2023,157.83,159.3,162.14,157.81,69.17M,-0.91%,159.975
3/21/2023,159.28,157.32,159.4,156.54,73.76M,1.19%,157.97
3/20/2023,157.4,155.07,157.82,154.15,73.47M,1.55%,155.985
3/17/2023,155,156.08,156.74,154.28,98.94M,-0.55%,155.51
3/16/2023,155.85,152.16,156.46,151.64,76.02M,1.87%,154.05
3/15/2023,152.99,151.19,153.24,149.92,75.96M,0.26%,151.58
3/14/2023,152.59,151.28,153.4,150.1,73.37M,1.41%,151.75
3/13/2023,150.47,147.8,153.14,147.7,84.46M,1.33%,150.42
3/10/2023,148.5,150.21,150.94,147.61,68.57M,-1.39%,149.275
3/9/2023,150.59,153.56,154.54,150.23,53.45M,-1.49%,152.385
3/8/2023,152.87,152.81,153.47,151.83,47.20M,0.84%,152.65
3/7/2023,151.6,153.7,154.03,151.13,56.18M,-1.45%,152.58
3/6/2023,153.83,153.79,156.3,153.46,87.56M,1.85%,154.88
3/3/2023,151.03,148.04,151.11,147.33,70.50M,3.51%,149.22
3/2/2023,145.91,144.38,146.71,143.9,52.09M,0.41%,145.305
3/1/2023,145.31,146.83,147.23,145.01,55.22M,-1.42%,146.12
2/28/2023,147.41,147.05,149.08,146.83,50.55M,-0.34%,147.955
2/27/2023,147.92,147.71,149.17,147.45,45.00M,0.82%,148.31
2/24/2023,146.71,147.11,147.19,145.72,55.47M,-1.80%,146.455
2/23/2023,149.4,150.09,150.34,147.24,48.39M,0.33%,148.79
2/22/2023,148.91,148.87,149.95,147.16,51.01M,0.29%,148.555
2/21/2023,148.48,150.2,151.3,148.4,58.87M,-2.67%,149.85
2/17/2023,152.55,152.35,153,150.85,59.14M,-0.75%,151.925
2/16/2023,153.71,153.51,156.33,153.35,66.84M,-1.04%,154.84
2/15/2023,155.33,153.11,155.5,152.88,65.47M,1.39%,154.19
2/14/2023,153.2,152.12,153.77,150.86,61.71M,-0.42%,152.315
2/13/2023,153.85,150.95,154.26,150.92,61.86M,1.88%,152.59
2/10/2023,151.01,149.46,151.34,149.22,57.45M,0.09%,150.28
2/9/2023,150.87,153.77,154.33,150.42,54.90M,-0.69%,152.375
2/8/2023,151.92,153.88,154.58,151.17,63.47M,-1.77%,152.875
2/7/2023,154.65,150.64,155.23,150.64,83.03M,1.92%,152.935
2/6/2023,151.73,152.57,153.1,150.78,68.02M,-1.79%,151.94
2/3/2023,154.5,148.03,157.38,147.83,154.36M,2.44%,152.605
2/2/2023,150.82,148.9,151.18,148.17,104.48M,3.71%,149.675
2/1/2023,145.43,143.97,146.61,141.32,76.77M,0.79%,143.965
1/31/2023,144.29,142.7,144.34,142.28,65.87M,0.90%,143.31
1/30/2023,143,144.96,145.55,142.85,62.98M,-2.01%,144.2
1/27/2023,145.93,143.15,147.23,143.08,70.56M,1.37%,145.155
1/26/2023,143.96,143.17,144.25,141.9,53.65M,1.48%,143.075
1/25/2023,141.86,140.89,142.43,138.81,64.69M,-0.47%,140.62
1/24/2023,142.53,140.3,143.16,140.3,63.71M,1.01%,141.73
1/23/2023,141.11,138.12,143.32,137.9,81.57M,2.35%,140.61
1/20/2023,137.87,135.28,138.02,134.22,80.22M,1.92%,136.12
1/19/2023,135.27,134.08,136.25,133.77,58.07M,0.04%,135.01
1/18/2023,135.21,136.82,138.61,135.03,69.67M,-0.54%,136.82
1/17/2023,135.94,134.83,137.29,134.13,63.42M,0.88%,135.71
1/13/2023,134.76,132.03,134.92,131.66,57.81M,1.01%,133.29
1/12/2023,133.41,133.88,134.26,131.44,71.25M,-0.06%,132.85
1/11/2023,133.49,131.25,133.51,130.46,69.12M,2.11%,131.985
1/10/2023,130.73,130.26,131.26,128.12,63.43M,0.45%,129.69
1/9/2023,130.15,130.46,133.41,129.89,70.50M,0.41%,131.65
1/6/2023,129.62,126.01,130.29,124.89,87.76M,3.68%,127.59
1/5/2023,125.02,127.13,127.77,124.76,79.97M,-1.06%,126.265
1/4/2023,126.36,126.89,128.66,125.08,88.46M,1.03%,126.87
1/3/2023,125.07,130.28,130.9,124.17,111.68M,-3.74%,127.535
